Date,Price,Open,High,Low,Vol.,Change %
20-Jun-18,1.66,1.66,1.67,1.65,111.10K,0.00%
19-Jun-18,1.66,1.66,1.67,1.61,86.10K,-0.60%
18-Jun-18,1.67,1.68,1.69,1.66,121.60K,-1.76%
14-Jun-18,1.7,1.68,1.71,1.67,103.30K,0.00%
13-Jun-18,1.7,1.68,1.72,1.65,163.00K,1.19%
12-Jun-18,1.68,1.72,1.72,1.67,117.30K,-1.75%
11-Jun-18,1.71,1.72,1.73,1.7,192.80K,0.59%
8-Jun-18,1.7,1.72,1.73,1.66,201.40K,-0.58%
7-Jun-18,1.71,1.72,1.78,1.7,485.60K,1.18%
6-Jun-18,1.69,1.58,1.69,1.58,717.20K,7.64%
5-Jun-18,1.57,1.58,1.59,1.57,198.20K,-0.63%
4-Jun-18,1.58,1.6,1.6,1.57,146.70K,-0.63%
1-Jun-18,1.59,1.58,1.63,1.58,399.90K,0.63%
31-May-18,1.58,1.62,1.65,1.57,479.00K,-0.63%
30-May-18,1.59,1.67,1.67,1.58,1.43M,-10.17%
28-May-18,1.77,1.86,1.86,1.75,586.80K,-5.85%
25-May-18,1.88,1.89,1.89,1.84,259.50K,-0.53%
24-May-18,1.89,1.9,1.93,1.83,212.20K,-1.56%
23-May-18,1.92,1.97,1.97,1.89,258.90K,-3.52%
22-May-18,1.99,2.05,2.05,1.98,217.00K,-1.97%
21-May-18,2.03,2.03,2.06,2.02,409.60K,1.00%
18-May-18,2.01,2.07,2.07,2,636.00K,-1.95%
17-May-18,2.05,2.03,2.08,2.01,1.00M,1.99%
16-May-18,2.01,1.98,2.03,1.97,2.49M,5.79%
15-May-18,1.9,1.82,1.91,1.82,317.10K,2.15%
14-May-18,1.86,1.79,1.92,1.74,338.90K,2.20%
8-May-18,1.82,1.78,1.83,1.78,200.00K,2.25%
7-May-18,1.78,1.82,1.82,1.76,377.30K,-3.78%
4-May-18,1.85,1.85,1.85,1.83,128.20K,-0.54%
3-May-18,1.86,1.89,1.89,1.86,64.50K,-2.62%
2-May-18,1.91,1.92,1.92,1.85,249.10K,-0.52%
30-Apr-18,1.92,1.92,1.92,1.89,72.50K,0.00%
